,name,url,language,license,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score,convention,ratio
1558,capacitor,https://github.com/ionic-team/capacitor,Java,Other,4892,38,0,226,5,12.4,33,408,299,1.6,349,0.65717,angular,0.85
1566,eslint-plugin-jsdoc,https://github.com/gajus/eslint-plugin-jsdoc,JavaScript,Other,482,65,0,70,6,6.2,108,39,31,2.4,3660,0.65692,angular,0.84
1571,wowchemy-hugo-modules,https://github.com/wowchemy/wowchemy-hugo-modules,JavaScript,MIT License,5290,57,0,136,9,5.7,3,163,125,2.1,1811,0.65678,angular,0.95
1573,swagger,https://github.com/nestjs/swagger,TypeScript,MIT License,697,40,0,67,10,10.1,44,191,160,1.0,1473,0.65675,angular,0.87
1577,trezor-firmware,https://github.com/trezor/trezor-firmware,Python,,353,100,0,225,9,22.8,15,210,134,1.8,32,0.65661,angular,0.94
1599,coveragepy,https://github.com/nedbat/coveragepy,Python,Apache License 2.0,1466,144,0,103,8,3.9,6,90,46,1.6,2761,0.65591,angular,0.94
1614,sass-loader,https://github.com/webpack-contrib/sass-loader,JavaScript,MIT License,3537,84,2,85,8,1.3,14,29,24,2.9,18891,0.6554300000000001,angular,1.0
1615,sendgrid-nodejs,https://github.com/sendgrid/sendgrid-nodejs,JavaScript,MIT License,2260,110,0,183,10,2.5,19,64,50,1.9,298,0.65542,angular,0.51
1617,botpress,https://github.com/botpress/botpress,TypeScript,GNU Affero General Public License v3.0,8982,52,0,148,2,24.5,41,465,318,0.7,3657,0.6553899999999999,angular,0.83
1640,argo-cd,https://github.com/argoproj/argo-cd,Go,Apache License 2.0,4672,35,0,355,4,17.0,39,892,559,1.9,94,0.65467,angular,0.91
1641,rules_nodejs,https://github.com/bazelbuild/rules_nodejs,Starlark,Apache License 2.0,462,45,0,150,4,11.6,29,380,266,1.6,847,0.65454,angular,0.86
1643,material-components-web,https://github.com/material-components/material-components-web,TypeScript,MIT License,15179,82,0,417,3,15.8,5,281,238,1.3,767,0.6544300000000001,angular,1.0
1671,verdaccio,https://github.com/verdaccio/verdaccio,TypeScript,MIT License,10937,93,0,228,8,3.2,16,114,85,1.5,379,0.6532899999999999,angular,0.88
1672,react-bootstrap,https://github.com/react-bootstrap/react-bootstrap,JavaScript,MIT License,18827,86,0,419,6,4.8,1,196,145,1.7,1126,0.65325,angular,0.89
1675,react-table,https://github.com/tannerlinsley/react-table,JavaScript,MIT License,13218,51,0,263,7,5.9,21,150,94,1.7,328,0.65322,angular,0.78
1687,G6,https://github.com/antvis/G6,TypeScript,MIT License,7370,47,0,78,9,25.1,25,439,341,2.2,80,0.65282,angular,0.99
1697,ng-bootstrap,https://github.com/ng-bootstrap/ng-bootstrap,TypeScript,MIT License,7672,65,0,147,8,3.7,19,118,60,1.2,1340,0.65242,angular,0.94
